"Date","Price","Open","High","Low","Vol.","Change %"
"16-09-2021","90.05","90.05","90.05","90.05","844.60K","4.95%"
"15-09-2021","85.80","85.80","85.80","85.80","443.82K","4.95%"
"14-09-2021","81.75","81.75","81.75","81.75","453.65K","4.94%"
"13-09-2021","77.90","77.90","77.90","77.90","319.27K","4.99%"
"09-09-2021","74.20","72.75","74.20","71.00","1.38M","4.95%"
"08-09-2021","70.70","69.40","71.90","68.55","773.86K","2.99%"
"07-09-2021","68.65","71.50","71.50","67.75","652.38K","-3.04%"
"06-09-2021","70.80","71.00","72.00","69.50","735.82K","0.35%"
"03-09-2021","70.55","68.90","71.95","67.00","887.53K","2.47%"
"02-09-2021","68.85","65.70","69.30","65.70","875.28K","4.32%"
"01-09-2021","66.00","67.45","68.00","64.55","510.41K","-2.15%"
"31-08-2021","67.45","70.20","70.20","67.00","599.45K","-2.18%"
"30-08-2021","68.95","66.40","69.05","66.00","875.85K","4.79%"
"27-08-2021","65.80","68.65","68.85","64.55","810.83K","-3.09%"
"26-08-2021","67.90","69.15","69.20","66.50","853.14K","2.26%"
"25-08-2021","66.40","65.00","66.40","63.55","481.67K","4.98%"
"24-08-2021","63.25","60.50","63.25","58.00","1.04M","4.98%"
"23-08-2021","60.25","63.50","65.45","60.25","1.05M","-4.97%"
"20-08-2021","63.40","65.00","68.60","63.00","664.25K","-4.08%"
"18-08-2021","66.10","62.85","66.65","60.60","1.93M","4.09%"
"17-08-2021","63.50","66.80","67.90","63.50","1.26M","-4.94%"
"16-08-2021","66.80","69.95","69.95","66.50","692.24K","-4.16%"
"13-08-2021","69.70","71.55","71.85","69.35","927.42K","-2.59%"
"12-08-2021","71.55","71.40","72.45","70.25","596.20K","1.63%"
"11-08-2021","70.40","71.35","72.70","66.50","1.85M","0.57%"
"10-08-2021","70.00","72.40","73.90","70.00","901.67K","-4.96%"
"09-08-2021","73.65","75.70","78.00","71.95","868.28K","-2.71%"
"06-08-2021","75.70","72.40","75.85","71.00","893.90K","4.78%"
"05-08-2021","72.25","73.40","73.40","70.00","920.17K","-1.70%"
"04-08-2021","73.50","77.65","79.95","73.50","1.11M","-4.98%"
"03-08-2021","77.35","79.80","80.40","76.75","1.13M","-2.21%"
"02-08-2021","79.10","76.00","80.10","75.25","1.48M","3.33%"
"30-07-2021","76.55","74.00","76.75","71.80","1.38M","4.72%"
"29-07-2021","73.10","75.00","75.50","71.10","728.63K","-0.07%"
"28-07-2021","73.15","74.50","75.00","71.50","799.73K","-2.53%"
"27-07-2021","75.05","79.00","80.50","73.35","1.31M","-2.72%"
"26-07-2021","77.15","71.50","77.15","69.85","2.45M","4.97%"
"23-07-2021","73.50","77.00","78.80","73.50","1.58M","-4.98%"
"22-07-2021","77.35","79.90","80.00","76.05","1.09M","-1.15%"
"20-07-2021","78.25","78.90","80.80","76.10","1.51M","-0.82%"
"19-07-2021","78.90","77.55","82.00","77.40","1.13M","-1.37%"
"16-07-2021","80.00","81.90","81.95","78.10","1.11M","-1.11%"
"15-07-2021","80.90","83.60","84.55","79.50","1.01M","-2.35%"
"14-07-2021","82.85","82.00","85.20","82.00","714.33K","0.98%"
"13-07-2021","82.05","86.00","86.40","81.15","1.32M","-3.58%"
"12-07-2021","85.10","88.60","88.60","84.10","1.47M","-0.06%"
"09-07-2021","85.15","85.00","85.50","83.10","1.38M","3.71%"
"08-07-2021","82.10","79.05","82.10","79.05","889.16K","4.99%"
"07-07-2021","78.20","79.00","81.75","78.00","2.15M","-4.34%"
"06-07-2021","81.75","85.00","85.80","81.55","2.37M","-4.72%"
"05-07-2021","85.80","87.75","89.40","84.10","2.20M","-2.22%"
"02-07-2021","87.75","83.60","87.75","80.75","2.51M","4.96%"
"01-07-2021","83.60","86.90","86.90","83.60","1.86M","-5.00%"
"30-06-2021","88.00","96.25","96.25","87.15","3.94M","-4.03%"
"29-06-2021","91.70","90.50","91.70","89.90","950.76K","4.98%"
"28-06-2021","87.35","79.10","87.35","79.10","4.34M","4.99%"
"25-06-2021","83.20","83.20","83.20","83.20","617.28K","-4.97%"
"24-06-2021","87.55","89.00","90.35","87.55","1.06M","-4.99%"
"23-06-2021","92.15","93.00","98.20","92.15","4.87M","-5.00%"
"22-06-2021","97.00","103.30","105.25","97.00","4.76M","-5.00%"
"21-06-2021","102.10","101.45","108.65","100.00","5.38M","-2.95%"
"18-06-2021","105.20","105.90","105.90","95.90","9.74M","4.26%"
"17-06-2021","100.90","97.40","100.95","92.10","5.70M","4.94%"
"16-06-2021","96.15","94.90","96.15","92.20","20.37M","4.97%"
"15-06-2021","91.60","89.85","91.60","88.60","3.57M","4.99%"
"14-06-2021","87.25","86.75","87.25","80.00","10.43M","4.99%"
"11-06-2021","83.10","88.90","88.90","81.00","26.87M","-1.89%"
"10-06-2021","84.70","83.00","84.70","82.50","10.42M","4.96%"
"09-06-2021","80.70","80.70","80.70","77.00","15.47M","4.94%"
"08-06-2021","76.90","74.50","76.90","73.25","19.77M","4.98%"
"07-06-2021","73.25","73.10","73.25","70.10","11.27M","4.94%"
"04-06-2021","69.80","69.85","69.85","66.55","23.47M","4.88%"
"03-06-2021","66.55","66.55","66.55","66.55","742.83K","4.97%"
"02-06-2021","63.40","60.55","63.40","60.50","6.89M","4.97%"
"01-06-2021","60.40","63.50","64.25","60.20","12.35M","-4.66%"
"31-05-2021","63.35","63.00","64.95","61.40","19.15M","-1.93%"
"28-05-2021","64.60","70.00","71.40","64.60","28.24M","-5.00%"
"27-05-2021","68.00","64.00","68.00","62.60","12.43M","9.94%"
"26-05-2021","61.85","59.10","63.00","57.75","17.40M","6.64%"
"25-05-2021","58.00","57.50","61.80","56.75","20.15M","2.65%"
